book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre
43982054-the-water-dancer,https://www.goodreads.com/book/show/43982054-the-water-dancer,The Water Dancer (Hardcover),Ta-Nehisi Coates,4.07,"90,997",2019,2063,fiction
16130549-doctor-sleep,https://www.goodreads.com/book/show/16130549-doctor-sleep,Doctor Sleep (Hardcover),Stephen King,4.10,"225,187",2013,2061,fiction
32049,https://www.goodreads.com/book/show/32049.Lady_Chatterley_s_Lover,Lady Chatterley's Lover (Hardcover),D.H. Lawrence,3.50,"109,954",1928,2061,fiction
5246,https://www.goodreads.com/book/show/5246.Ethan_Frome,Ethan Frome (Paperback),Edith Wharton,3.43,"119,029",1911,2061,fiction
18775247-mr-mercedes,https://www.goodreads.com/book/show/18775247-mr-mercedes,"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,3.96,"273,263",2014,2057,fiction
9557,https://www.goodreads.com/book/show/9557.Sputnik_Sweetheart,Sputnik Sweetheart (Paperback),Haruki Murakami,3.82,"126,104",1999,2056,fiction
187020,https://www.goodreads.com/book/show/187020.Empire_Falls,Empire Falls (Paperback),Richard Russo,3.91,"120,533",2001,2056,fiction
7672,https://www.goodreads.com/book/show/7672.Congo,Congo (Paperback),Michael Crichton,3.62,"168,899",1980,2055,fiction
415,https://www.goodreads.com/book/show/415.Gravity_s_Rainbow,Gravity's Rainbow (Paperback),Thomas Pynchon,3.95,"43,147",1973,2053,fiction
22544764-uprooted,https://www.goodreads.com/book/show/22544764-uprooted,Uprooted (Hardcover),Naomi Novik,4.04,"201,829",2015,2051,fiction
78129,https://www.goodreads.com/book/show/78129.Killing_Floor,"Killing Floor (Jack Reacher, #1)",Lee Child,4.05,"278,543",1997,2051,fiction
43814,https://www.goodreads.com/book/show/43814.The_Vampire_Lestat,"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.06,"187,596",1985,2050,fiction
27406704-britt-marie-was-here,https://www.goodreads.com/book/show/27406704-britt-marie-was-here,Britt-Marie Was Here (Hardcover),Fredrik Backman,4.05,"118,863",2014,2049,fiction
9850443-the-sisters-brothers,https://www.goodreads.com/book/show/9850443-the-sisters-brothers,The Sisters Brothers (Hardcover),Patrick deWitt,3.82,"97,877",2011,2047,fiction
43545,https://www.goodreads.com/book/show/43545.The_Once_and_Future_King,"The Once and Future King (The Once and Future King, #1-4)",T.H. White,4.04,"109,133",1958,2046,fiction
45978,https://www.goodreads.com/book/show/45978.Eldest,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,3.99,"395,269",2005,2040,fiction
15622,https://www.goodreads.com/book/show/15622.Native_Son,Native Son (Paperback),Richard Wright,3.99,"95,946",1940,2037,fiction
9592,https://www.goodreads.com/book/show/9592.Mother_Night,Mother Night (Paperback),Kurt Vonnegut Jr.,4.19,"85,665",1961,2037,fiction
31242,https://www.goodreads.com/book/show/31242.Bleak_House,Bleak House (Paperback),Charles Dickens,4.00,"106,248",1853,2036,fiction
6656,https://www.goodreads.com/book/show/6656.The_Divine_Comedy,The Divine Comedy (Hardcover),Dante Alighieri,4.04,"135,597",1320,2034,fiction
11346,https://www.goodreads.com/book/show/11346.Sula,Sula (Paperback),Toni Morrison,3.96,"76,287",1973,2032,fiction
629,https://www.goodreads.com/book/show/629.Zen_and_the_Art_of_Motorcycle_Maintenance,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.77,"219,190",1974,2031,fiction
36236123-survivor,https://www.goodreads.com/book/show/36236123-survivor,Survivor (Paperback),Chuck Palahniuk,3.91,"118,764",1999,2025,fiction
48328,https://www.goodreads.com/book/show/48328.Revolutionary_Road,Revolutionary Road (Paperback),Richard Yates,3.90,"84,657",1961,2023,fiction
22237161-the-sellout,https://www.goodreads.com/book/show/22237161-the-sellout,The Sellout (Hardcover),Paul Beatty,3.75,"65,274",2015,2011,fiction
44492285-dune-messiah,https://www.goodreads.com/book/show/44492285-dune-messiah,"Dune Messiah (Dune Chronicles, #2)",Frank Herbert,3.89,"173,226",1969,2010,fiction
6202342-her-fearful-symmetry,https://www.goodreads.com/book/show/6202342-her-fearful-symmetry,Her Fearful Symmetry (Hardcover),Audrey Niffenegger,3.27,"93,738",2009,2007,fiction
10987,https://www.goodreads.com/book/show/10987.Voyager,"Voyager (Outlander, #3)",Diana Gabaldon,4.36,"280,325",1993,1995,fiction
29999,https://www.goodreads.com/book/show/29999.The_Maltese_Falcon,The Maltese Falcon (Paperback),Dashiell Hammett,3.89,"102,404",1930,1993,fiction
21686,https://www.goodreads.com/book/show/21686.Shutter_Island,Shutter Island (Mass Market Paperback),Dennis Lehane,4.07,"188,510",2003,1990,fiction
28815371-the-mothers,https://www.goodreads.com/book/show/28815371-the-mothers,The Mothers (Hardcover),Brit Bennett,3.89,"92,104",2016,1988,fiction
36199084-the-kiss-quotient,https://www.goodreads.com/book/show/36199084-the-kiss-quotient,"The Kiss Quotient (The Kiss Quotient, #1)",Helen Hoang,3.92,"222,003",2018,1988,fiction
2666,https://www.goodreads.com/book/show/2666.The_Bonfire_of_the_Vanities,The Bonfire of the Vanities (Paperback),Tom Wolfe,3.86,"77,157",1987,1988,fiction
3679,https://www.goodreads.com/book/show/3679.On_Beauty,On Beauty (Paperback),Zadie Smith,3.73,"79,409",2005,1983,fiction
228333,https://www.goodreads.com/book/show/228333.The_Nanny_Diaries,"The Nanny Diaries (Nanny, #1)",Emma McLaughlin,3.44,"375,556",2002,1982,fiction
